Borough;Latitude ;Longitude
Barking and Dagenham;51.546483;0.12935
Barnet;51.6269225;-0.1949252
Bexley;51.451902;0.117179
Brent;51.559012;-0.275636
Bromley;51.368319;0.060878
Camden;51.548361;-0.155649
City of London;51.513681;-0.091354
Croydon;51.356268;-0.074507
Ealing;51.521227; -0.337504
Enfield;51.649601;-0.078366
Greenwich;51.472290;0.051279
Hackney;51.544205; -0.054215
Hammersmith and Fulham;51.496396;-0.225801
Haringey;51.589946;-0.104307
Harrow;51.597538;-0.343167
Havering;51.552585;0.231956
Hillingdon;51.537513;-0.447273
Hounslow;51.466923;-0.374789
Islington;51.547660;-0.108589
Kensington and Chelsea;51.498973;-0.195638
Kingston upon Thames;51.387569;-0.283726
Lambeth;51.450799;-0.120949
Lewisham;51.444458;-0.018539
Merton;51.407595; -0.198298
Newham;51.524651;0.039266
Redbridge;51.577650;0.074790
Richmond upon Thames;51.442911;-0.306634
Southwark;51.464826;-0.071953
Sutton;51.358424;-0.166755
Tower Hamlets;51.518862;-0.033962
Waltham Forest;51.595448;-0.011072
Wandsworth;51.450105;-0.186559
Westminster;51.511052;-0.158274
