Code;Area;2014;;2015;;2016;;2017;;2018;
;;Pay (£);conf %;Pay (£);conf %;Pay (£);conf %;Pay (£);conf %;Pay (£);conf %
;;;;;;;;;;;
00AA;City of London;#;#;#;#;#;#;#;#;902;19
00AB;Barking and Dagenham;422,5;4,9;436,6;5,4;462,2;4,5;461,0;5,1;479,1;4,9
00AC;Barnet;479,1;4,0;491,0;4,9;485,6;5,4;522,6;4,5;536,6;4,8
00AD;Bexley;512,6;4,6;491,1;4,8;487,0;5,6;513,0;4,6;513,8;5,3
00AE;Brent;441,8;4,5;457,6;4,1;467,0;4,2;471,0;4,7;480,0;3,9
00AF;Bromley;578,5;4,4;583,8;4,0;584,3;4,6;608,0;4,8;632,5;4,3
00AG;Camden;613,1;6,7;588,1;6,4;632,5;5,7;614,3;4,1;634,7;6,2
00AH;Croydon;499,0;3,3;492,2;3,8;512,3;3,7;538,5;3,9;552,0;3,9
00AJ;Ealing;498,4;3,2;495,7;4,2;498,3;3,6;517,2;3,0;523,0;4,4
00AK;Enfield;462,8;5,2;473,6;4,9;463,9;4,5;479,8;4,4;479,1;4,5
00AL;Greenwich;509,1;4,2;532,5;4,2;539,3;4,5;553,0;3,4;573,7;3,4
00AM;Hackney;513,0;4,8;534,5;4,2;527,8;3,9;558,1;4,1;555,6;3,8
00AN;Hammersmith and Fulham;609,9;4,7;646,7;4,1;641,9;4,6;651,1;4,1;681,3;4,2
00AP;Haringey;467,7;5,3;500,0;3,8;481,9;5,1;525,3;5,0;548,1;4,1
00AQ;Harrow;492,3;4,5;505,1;4,3;522,8;4,5;543,4;4,2;538,3;5,0
00AR;Havering;499,1;4,4;517,5;4,0;532,6;4,5;534,2;5,3;544,2;4,0
00AS;Hillingdon;492,5;4,6;498,8;4,1;499,8;3,8;500,4;2,9;531,9;3,4
00AT;Hounslow;463,5;3,9;495,6;3,4;500,9;3,9;517,0;3,8;535,9;3,8
00AU;Islington;613,5;5,3;603,7;5,3;613,3;4,8;646,1;4,5;687,6;5,7
00AW;Kensington and Chelsea;641,3;11,0;632,4;9,6;651,6;6,9;784,4;6,7;669,3;11,0
00AX;Kingston upon Thames;556,5;6,7;574,6;6,4;566,7;6,5;579,9;6,8;627,1;6,7
00AY;Lambeth;547,0;3,1;542,9;3,5;551,7;3,2;594,6;3,3;620,4;3,3
00AZ;Lewisham;518,5;4,0;517,5;4,4;520,6;4,6;535,2;4,3;551,4;3,7
00BA;Merton;542,9;4,4;548,1;4,2;585,3;4,6;573,0;5,1;594,8;5,0
00BB;Newham;393,7;4,5;421,6;5,0;436,7;4,3;471,3;4,7;479,1;4,2
00BC;Redbridge;517,6;4,8;533,1;5,3;521,8;4,6;546,8;4,8;554,7;4,5
00BD;Richmond upon Thames;654,2;5,4;648,0;5,6;688,8;6,9;665,9;5,9;678,2;5,9
00BE;Southwark;529,0;3,7;557,0;3,9;543,0;3,6;587,1;3,1;589,4;3,4
00BF;Sutton;508,3;4,4;498,3;5,0;532,9;5,0;515,2;5,4;541,2;4,9
00BG;Tower Hamlets;574,9;4,3;554,9;4,6;557,9;4,6;592,0;4,8;627,9;4,0
00BH;Waltham Forest;444,8;5,5;476,3;5,2;483,4;4,8;499,4;4,4;529,2;4,7
00BJ;Wandsworth;661,1;3,1;670,1;3,6;684,7;3,9;681,2;3,8;689,9;3,4
00BK;Westminster;659,6;5,5;656,0;7,1;667,5;5,1;730,8;5,7;766,6;5,5
;;;;;;;;;;;
A;North East;386,7;1,3;394,7;1,2;405,1;1,6;416,1;1,5;420,1;1,3
B;North West;394,5;0,9;400,0;0,9;413,5;0,9;421,6;0,8;434,7;0,7
D;Yorkshire and The Humber;383,7;0,9;389,1;1,0;402,5;0,9;410,9;1,0;423,9;0,9
E;East Midlands;396,0;1,1;400,9;1,1;413,6;1,0;421,6;1,1;428,3;1,0
F;West Midlands;392,4;1,0;402,5;1,0;414,6;1,0;426,5;0,8;440,0;0,9
G;East;431,2;1,0;434,5;1,0;456,6;0,9;465,7;0,8;479,1;0,8
H;London;520,7;0,6;527,9;0,8;536,6;0,7;558,1;0,8;574,9;0,3
J;South East;456,5;0,6;467,9;0,8;479,1;0,6;484,8;0,6;496,2;0,7
K;South West;386,0;0,9;398,4;0,9;410,6;1,0;419,3;0,9;430,7;0,9
924;Wales;383,3;1,4;388,1;1,3;408,0;1,2;412,1;1,2;422,2;1,3
923;Scotland;413,7;1,0;423,6;0,9;433,2;0,9;441,4;0,8;452,4;0,9
922;Northern Ireland;363,1;1,7;381,7;1,7;392,5;1,6;407,4;1,7;424,1;1,6
;;;;;;;;;;;
941;England and Wales;420,7;0,2;426,2;0,2;440,8;0,1;451,0;0,2;463,1;0,3
926;United Kingdom;417,9;0,1;425,1;0,2;438,4;0,2;448,5;0,2;460,0;0,1
